mcparamset ,(cross(VT("/TN") 0.45 1 "either" nil nil nil) - cross(VT("/TP") 0.45 1 "either" nil nil nil)) vdc 0 ,(cross(VT("/TN") 0.45 1 "either" nil nil nil) - cross(VT("/TP") 0.45 1 "either" nil nil nil)) vdc 0.064 ,(cross(VT("/TN") 0.45 1 "either" nil nil nil) - cross(VT("/TP") 0.45 1 "either" nil nil nil)) vdc 0.128 ,(cross(VT("/TN") 0.45 1 "either" nil nil nil) - cross(VT("/TP") 0.45 1 "either" nil nil nil)) vdc 0.192 ,(cross(VT("/TN") 0.45 1 "either" nil nil nil) - cross(VT("/TP") 0.45 1 "either" nil nil nil)) vdc 0.256 
84.00,-119.4E-15,15.83E-12,29.98E-12,43.25E-12,56.67E-12
85.00,552.8E-15,17.62E-12,32.83E-12,47.27E-12,61.97E-12
86.00,1.448E-12,17.56E-12,31.82E-12,45.50E-12,59.34E-12
87.00,4.586E-12,21.05E-12,35.61E-12,49.64E-12,63.98E-12
88.00,-643.4E-15,15.27E-12,29.20E-12,42.37E-12,55.65E-12
89.00,-50.48E-15,16.48E-12,31.14E-12,45.16E-12,59.38E-12
90.00,-692.1E-15,16.67E-12,32.15E-12,46.91E-12,61.70E-12
91.00,981.7E-15,16.85E-12,30.93E-12,44.40E-12,58.14E-12
92.00,1.818E-12,17.35E-12,31.11E-12,44.31E-12,57.54E-12
93.00,-5.180E-12,12.76E-12,28.67E-12,43.59E-12,58.68E-12
94.00,2.660E-12,16.94E-12,29.67E-12,41.74E-12,53.79E-12
95.00,-1.794E-12,16.09E-12,32.01E-12,47.17E-12,62.65E-12
96.00,-2.871E-12,15.64E-12,32.25E-12,47.70E-12,63.29E-12
97.00,3.828E-12,17.80E-12,30.24E-12,41.89E-12,53.62E-12
98.00,1.599E-12,19.66E-12,35.72E-12,51.22E-12,66.82E-12
99.00,-1.676E-12,14.14E-12,28.08E-12,41.30E-12,54.49E-12
100.0,-3.115E-12,13.57E-12,28.32E-12,42.30E-12,56.38E-12
101.0,6.604E-12,22.58E-12,36.73E-12,50.49E-12,64.64E-12
102.0,445.7E-15,16.01E-12,29.77E-12,42.83E-12,56.09E-12
103.0,568.6E-15,16.78E-12,31.06E-12,44.74E-12,58.43E-12
104.0,-2.300E-12,14.60E-12,29.66E-12,43.74E-12,58.11E-12
105.0,1.438E-12,16.17E-12,29.20E-12,41.53E-12,53.90E-12
106.0,-1.360E-12,15.95E-12,31.35E-12,45.90E-12,60.53E-12
107.0,-1.489E-12,15.16E-12,30.12E-12,44.28E-12,58.51E-12
108.0,1.002E-12,17.26E-12,31.63E-12,45.44E-12,59.32E-12
109.0,-107.0E-15,17.32E-12,32.80E-12,47.53E-12,62.47E-12
110.0,-2.793E-12,14.16E-12,29.60E-12,43.77E-12,57.99E-12
111.0,745.3E-15,15.65E-12,28.89E-12,41.40E-12,54.01E-12
112.0,703.5E-15,16.63E-12,30.63E-12,43.78E-12,57.10E-12
113.0,769.4E-15,16.53E-12,30.59E-12,44.00E-12,57.51E-12
114.0,2.165E-12,18.22E-12,32.59E-12,46.19E-12,60.01E-12
115.0,-2.719E-12,14.77E-12,30.54E-12,45.33E-12,60.43E-12
116.0,-2.865E-12,14.71E-12,30.33E-12,45.06E-12,59.98E-12
117.0,-1.241E-12,15.44E-12,30.23E-12,44.15E-12,58.06E-12
118.0,-884.3E-15,13.98E-12,27.02E-12,39.46E-12,52.08E-12
119.0,-900.1E-15,16.68E-12,32.32E-12,47.20E-12,62.29E-12
120.0,-2.248E-12,15.04E-12,30.42E-12,45.02E-12,59.71E-12
121.0,2.539E-12,18.96E-12,33.56E-12,47.48E-12,61.67E-12
122.0,-1.204E-12,15.76E-12,30.72E-12,44.83E-12,58.94E-12
123.0,4.016E-12,20.70E-12,35.60E-12,49.75E-12,64.27E-12
124.0,1.798E-12,17.85E-12,31.97E-12,45.43E-12,59.19E-12
125.0,-3.880E-12,11.43E-12,24.91E-12,37.61E-12,50.45E-12
126.0,1.347E-12,17.91E-12,32.66E-12,46.73E-12,60.91E-12
127.0,4.412E-12,20.70E-12,35.17E-12,49.21E-12,63.44E-12
128.0,-3.245E-12,14.39E-12,30.12E-12,44.85E-12,59.64E-12
129.0,1.013E-12,15.99E-12,29.18E-12,41.89E-12,54.62E-12
130.0,702.6E-15,16.52E-12,30.50E-12,43.80E-12,57.34E-12
131.0,1.455E-12,17.63E-12,32.00E-12,45.59E-12,59.34E-12
132.0,997.1E-15,17.68E-12,32.55E-12,46.50E-12,60.65E-12
133.0,-1.010E-12,15.91E-12,30.98E-12,45.17E-12,59.40E-12
134.0,533.1E-15,16.89E-12,31.42E-12,45.35E-12,59.61E-12
135.0,-1.694E-12,14.04E-12,27.80E-12,40.83E-12,53.75E-12
136.0,2.333E-12,18.15E-12,32.19E-12,45.62E-12,59.35E-12
137.0,-2.074E-12,15.11E-12,30.52E-12,45.13E-12,59.80E-12
138.0,1.168E-12,18.48E-12,34.06E-12,48.59E-12,63.38E-12
139.0,494.2E-15,16.31E-12,30.19E-12,43.38E-12,56.78E-12
140.0,1.870E-12,19.61E-12,35.55E-12,50.75E-12,66.37E-12
141.0,-2.541E-12,14.30E-12,29.23E-12,43.27E-12,57.16E-12
142.0,-2.578E-12,14.48E-12,29.77E-12,43.99E-12,58.44E-12
143.0,2.795E-12,18.74E-12,32.91E-12,46.38E-12,59.99E-12
144.0,-1.642E-12,12.91E-12,25.73E-12,37.49E-12,49.21E-12
145.0,2.821E-12,18.61E-12,32.45E-12,45.98E-12,59.70E-12
146.0,3.888E-12,20.38E-12,34.91E-12,48.98E-12,63.23E-12
147.0,-2.046E-12,14.57E-12,29.54E-12,43.51E-12,57.69E-12
148.0,2.190E-12,18.51E-12,32.99E-12,46.72E-12,60.66E-12
149.0,-3.490E-12,13.43E-12,28.34E-12,42.47E-12,56.66E-12
150.0,1.123E-12,16.42E-12,29.99E-12,42.91E-12,56.03E-12
151.0,-627.8E-15,17.24E-12,33.16E-12,48.23E-12,63.51E-12
152.0,-3.293E-12,12.24E-12,25.91E-12,38.75E-12,51.52E-12
153.0,-516.9E-15,16.21E-12,31.15E-12,45.42E-12,59.91E-12
154.0,-3.103E-12,13.45E-12,28.18E-12,41.91E-12,55.68E-12
155.0,793.2E-15,17.64E-12,32.67E-12,46.94E-12,61.26E-12
156.0,610.0E-15,18.55E-12,34.65E-12,49.76E-12,65.23E-12
157.0,2.784E-12,20.09E-12,35.41E-12,50.06E-12,64.94E-12
158.0,-271.4E-15,14.88E-12,28.23E-12,40.91E-12,53.49E-12
159.0,2.906E-12,19.53E-12,34.37E-12,48.83E-12,63.46E-12
160.0,-3.600E-12,12.99E-12,27.69E-12,41.47E-12,55.27E-12
161.0,1.537E-12,16.99E-12,30.98E-12,44.05E-12,57.20E-12
162.0,208.9E-15,17.43E-12,32.61E-12,47.18E-12,61.81E-12
163.0,1.631E-12,17.66E-12,31.79E-12,45.18E-12,58.78E-12
164.0,-3.227E-12,13.84E-12,29.18E-12,43.59E-12,58.06E-12
165.0,-59.42E-15,16.27E-12,30.62E-12,44.25E-12,57.88E-12
166.0,-1.087E-12,14.48E-12,28.31E-12,41.37E-12,54.53E-12
167.0,2.004E-12,19.48E-12,34.99E-12,49.95E-12,65.15E-12
168.0,-656.0E-15,17.06E-12,32.92E-12,47.73E-12,62.77E-12
169.0,-3.211E-12,11.08E-12,23.83E-12,35.71E-12,47.59E-12
170.0,993.8E-15,17.62E-12,32.36E-12,46.41E-12,60.59E-12
171.0,3.269E-12,19.65E-12,34.23E-12,48.16E-12,62.28E-12
