Point,Corner,IN,Pass/Fail,"value(VT(""/VO"") 2e-08)"
161,nom,550.3e-3,,560.2e-3
162,nom,553.7e-3,,563.2e-3
163,nom,557.2e-3,,566.2e-3
164,nom,560.6e-3,,569.3e-3
165,nom,564e-3,,572.3e-3
166,nom,567.5e-3,,575.3e-3
167,nom,570.9e-3,,578.3e-3
168,nom,574.3e-3,,581.3e-3
169,nom,577.8e-3,,584.3e-3
170,nom,581.2e-3,,587.3e-3
171,nom,584.7e-3,,590.3e-3
172,nom,588.1e-3,,593.4e-3
173,nom,591.5e-3,,596.4e-3
174,nom,595e-3,,599.4e-3
175,nom,598.4e-3,,602.4e-3
176,nom,601.9e-3,,605.4e-3
177,nom,605.3e-3,,608.4e-3
178,nom,608.7e-3,,611.4e-3
179,nom,612.2e-3,,614.4e-3
180,nom,615.6e-3,,617.4e-3
181,nom,619.1e-3,,620.4e-3
182,nom,622.5e-3,,623.4e-3
183,nom,625.9e-3,,626.4e-3
184,nom,629.4e-3,,629.5e-3
185,nom,632.8e-3,,632.5e-3
186,nom,636.3e-3,,635.5e-3
187,nom,639.7e-3,,638.5e-3
188,nom,643.1e-3,,641.5e-3
189,nom,646.6e-3,,644.5e-3
190,nom,650e-3,,647.2e-3
191,nom,653.5e-3,,650.3e-3
192,nom,656.9e-3,,653.3e-3
193,nom,660.3e-3,,656.3e-3
194,nom,663.8e-3,,659.3e-3
195,nom,667.2e-3,,662.3e-3
196,nom,670.6e-3,,665.3e-3
197,nom,674.1e-3,,668.3e-3
198,nom,677.5e-3,,671.4e-3
199,nom,681e-3,,674.4e-3
200,nom,684.4e-3,,677.4e-3
201,nom,687.8e-3,,680.4e-3
202,nom,691.3e-3,,683.4e-3
203,nom,694.7e-3,,686.5e-3
204,nom,698.2e-3,,689.5e-3
205,nom,701.6e-3,,692.5e-3
206,nom,705e-3,,695.5e-3
207,nom,708.5e-3,,698.6e-3
208,nom,711.9e-3,,701.6e-3
209,nom,715.4e-3,,704.6e-3
210,nom,718.8e-3,,707.6e-3
211,nom,722.2e-3,,710.6e-3
212,nom,725.7e-3,,713.7e-3
213,nom,729.1e-3,,716.7e-3
214,nom,732.6e-3,,719.8e-3
215,nom,736e-3,,722.8e-3
216,nom,739.4e-3,,725.8e-3
217,nom,742.9e-3,,728.9e-3
218,nom,746.3e-3,,731.9e-3
219,nom,749.7e-3,,735e-3
220,nom,753.2e-3,,738.1e-3
221,nom,756.6e-3,,741.1e-3
222,nom,760.1e-3,,744.2e-3
223,nom,763.5e-3,,747.2e-3
224,nom,766.9e-3,,750.3e-3
225,nom,770.4e-3,,753.3e-3
226,nom,773.8e-3,,756.4e-3
227,nom,777.3e-3,,759.5e-3
228,nom,780.7e-3,,762.6e-3
229,nom,784.1e-3,,765.7e-3
230,nom,787.6e-3,,768.7e-3
231,nom,791e-3,,771.8e-3
232,nom,794.5e-3,,774.9e-3
233,nom,797.9e-3,,778e-3
234,nom,801.3e-3,,781.2e-3
235,nom,804.8e-3,,784.2e-3
236,nom,808.2e-3,,787.3e-3
237,nom,811.7e-3,,790.4e-3
238,nom,815.1e-3,,793.5e-3
239,nom,818.5e-3,,796.6e-3
240,nom,822e-3,,799.7e-3
241,nom,825.4e-3,,802.7e-3
242,nom,828.9e-3,,805.8e-3
243,nom,832.3e-3,,808.9e-3
244,nom,835.7e-3,,812e-3
245,nom,839.2e-3,,815.1e-3
246,nom,842.6e-3,,818.2e-3
247,nom,846e-3,,821.3e-3
248,nom,849.5e-3,,824.4e-3
249,nom,852.9e-3,,827.4e-3
250,nom,856.4e-3,,830.5e-3
251,nom,859.8e-3,,833.6e-3
252,nom,863.2e-3,,836.7e-3
253,nom,866.7e-3,,839.8e-3
254,nom,870.1e-3,,842.9e-3
255,nom,873.6e-3,,846e-3
256,nom,877e-3,,849e-3

