Point,Corner,a,b,c,d,e,f,g,h,Pass/Fail,"value(VT(""/VO"") 1e-08)"
84,nom,0,900e-3,0,900e-3,0,0,900e-3,900e-3,,563.9e-3
85,nom,0,900e-3,0,900e-3,0,900e-3,0,0,,561.1e-3
86,nom,0,900e-3,0,900e-3,0,900e-3,0,900e-3,,556.3e-3
87,nom,0,900e-3,0,900e-3,0,900e-3,900e-3,0,,552.4e-3
88,nom,0,900e-3,0,900e-3,0,900e-3,900e-3,900e-3,,547.9e-3
89,nom,0,900e-3,0,900e-3,900e-3,0,0,0,,545.6e-3
90,nom,0,900e-3,0,900e-3,900e-3,0,0,900e-3,,540.6e-3
91,nom,0,900e-3,0,900e-3,900e-3,0,900e-3,0,,536.7e-3
92,nom,0,900e-3,0,900e-3,900e-3,0,900e-3,900e-3,,532.2e-3
93,nom,0,900e-3,0,900e-3,900e-3,900e-3,0,0,,528.8e-3
94,nom,0,900e-3,0,900e-3,900e-3,900e-3,0,900e-3,,524.3e-3
95,nom,0,900e-3,0,900e-3,900e-3,900e-3,900e-3,0,,520.4e-3
96,nom,0,900e-3,0,900e-3,900e-3,900e-3,900e-3,900e-3,,516e-3
97,nom,0,900e-3,900e-3,0,0,0,0,0,,513.2e-3
98,nom,0,900e-3,900e-3,0,0,0,0,900e-3,,508.3e-3
99,nom,0,900e-3,900e-3,0,0,0,900e-3,0,,504.5e-3
100,nom,0,900e-3,900e-3,0,0,0,900e-3,900e-3,,500.2e-3
101,nom,0,900e-3,900e-3,0,0,900e-3,0,0,,497.5e-3
102,nom,0,900e-3,900e-3,0,0,900e-3,0,900e-3,,493e-3
103,nom,0,900e-3,900e-3,0,0,900e-3,900e-3,0,,489.5e-3
104,nom,0,900e-3,900e-3,0,0,900e-3,900e-3,900e-3,,485.5e-3
105,nom,0,900e-3,900e-3,0,900e-3,0,0,0,,483.5e-3
106,nom,0,900e-3,900e-3,0,900e-3,0,0,900e-3,,479.4e-3
107,nom,0,900e-3,900e-3,0,900e-3,0,900e-3,0,,476.1e-3
108,nom,0,900e-3,900e-3,0,900e-3,0,900e-3,900e-3,,472.4e-3
109,nom,0,900e-3,900e-3,0,900e-3,900e-3,0,0,,469.8e-3
110,nom,0,900e-3,900e-3,0,900e-3,900e-3,0,900e-3,,466.2e-3
111,nom,0,900e-3,900e-3,0,900e-3,900e-3,900e-3,0,,463.1e-3
112,nom,0,900e-3,900e-3,0,900e-3,900e-3,900e-3,900e-3,,459.7e-3
113,nom,0,900e-3,900e-3,900e-3,0,0,0,0,,458.2e-3
114,nom,0,900e-3,900e-3,900e-3,0,0,0,900e-3,,454.6e-3
115,nom,0,900e-3,900e-3,900e-3,0,0,900e-3,0,,451.8e-3
116,nom,0,900e-3,900e-3,900e-3,0,0,900e-3,900e-3,,448.5e-3
117,nom,0,900e-3,900e-3,900e-3,0,900e-3,0,0,,446.2e-3
118,nom,0,900e-3,900e-3,900e-3,0,900e-3,0,900e-3,,443e-3
119,nom,0,900e-3,900e-3,900e-3,0,900e-3,900e-3,0,,440.3e-3
120,nom,0,900e-3,900e-3,900e-3,0,900e-3,900e-3,900e-3,,437.2e-3
121,nom,0,900e-3,900e-3,900e-3,900e-3,0,0,0,,435.3e-3
122,nom,0,900e-3,900e-3,900e-3,900e-3,0,0,900e-3,,432.3e-3
123,nom,0,900e-3,900e-3,900e-3,900e-3,0,900e-3,0,,429.6e-3
124,nom,0,900e-3,900e-3,900e-3,900e-3,0,900e-3,900e-3,,426.6e-3
125,nom,0,900e-3,900e-3,900e-3,900e-3,900e-3,0,0,,424.4e-3
126,nom,0,900e-3,900e-3,900e-3,900e-3,900e-3,0,900e-3,,421.4e-3
127,nom,0,900e-3,900e-3,900e-3,900e-3,900e-3,900e-3,0,,418.8e-3
128,nom,0,900e-3,900e-3,900e-3,900e-3,900e-3,900e-3,900e-3,,415.7e-3
129,nom,900e-3,0,0,0,0,0,0,0,,437.3e-3
130,nom,900e-3,0,0,0,0,0,0,900e-3,,433.2e-3
131,nom,900e-3,0,0,0,0,0,900e-3,0,,430e-3
132,nom,900e-3,0,0,0,0,0,900e-3,900e-3,,425.7e-3
133,nom,900e-3,0,0,0,0,900e-3,0,0,,423.2e-3
134,nom,900e-3,0,0,0,0,900e-3,0,900e-3,,418.9e-3
135,nom,900e-3,0,0,0,0,900e-3,900e-3,0,,415.6e-3
136,nom,900e-3,0,0,0,0,900e-3,900e-3,900e-3,,411.6e-3
137,nom,900e-3,0,0,0,900e-3,0,0,0,,409.7e-3
138,nom,900e-3,0,0,0,900e-3,0,0,900e-3,,405.5e-3
139,nom,900e-3,0,0,0,900e-3,0,900e-3,0,,402.1e-3
140,nom,900e-3,0,0,0,900e-3,0,900e-3,900e-3,,398.2e-3
141,nom,900e-3,0,0,0,900e-3,900e-3,0,0,,395.4e-3
142,nom,900e-3,0,0,0,900e-3,900e-3,0,900e-3,,391.5e-3
143,nom,900e-3,0,0,0,900e-3,900e-3,900e-3,0,,388.1e-3
144,nom,900e-3,0,0,0,900e-3,900e-3,900e-3,900e-3,,384.2e-3
145,nom,900e-3,0,0,900e-3,0,0,0,0,,382.8e-3
146,nom,900e-3,0,0,900e-3,0,0,0,900e-3,,378.6e-3
147,nom,900e-3,0,0,900e-3,0,0,900e-3,0,,375.2e-3
148,nom,900e-3,0,0,900e-3,0,0,900e-3,900e-3,,371.3e-3
149,nom,900e-3,0,0,900e-3,0,900e-3,0,0,,368.5e-3
150,nom,900e-3,0,0,900e-3,0,900e-3,0,900e-3,,364.6e-3
151,nom,900e-3,0,0,900e-3,0,900e-3,900e-3,0,,361.2e-3
152,nom,900e-3,0,0,900e-3,0,900e-3,900e-3,900e-3,,357.3e-3
153,nom,900e-3,0,0,900e-3,900e-3,0,0,0,,355.1e-3
154,nom,900e-3,0,0,900e-3,900e-3,0,0,900e-3,,351.2e-3
155,nom,900e-3,0,0,900e-3,900e-3,0,900e-3,0,,347.8e-3
156,nom,900e-3,0,0,900e-3,900e-3,0,900e-3,900e-3,,343.9e-3
157,nom,900e-3,0,0,900e-3,900e-3,900e-3,0,0,,341.1e-3
158,nom,900e-3,0,0,900e-3,900e-3,900e-3,0,900e-3,,337.3e-3
159,nom,900e-3,0,0,900e-3,900e-3,900e-3,900e-3,0,,334e-3
160,nom,900e-3,0,0,900e-3,900e-3,900e-3,900e-3,900e-3,,330.2e-3
161,nom,900e-3,0,900e-3,0,0,0,0,0,,329.2e-3
162,nom,900e-3,0,900e-3,0,0,0,0,900e-3,,325.1e-3
163,nom,900e-3,0,900e-3,0,0,0,900e-3,0,,321.8e-3
164,nom,900e-3,0,900e-3,0,0,0,900e-3,900e-3,,318e-3
165,nom,900e-3,0,900e-3,0,0,900e-3,0,0,,315.2e-3
166,nom,900e-3,0,900e-3,0,0,900e-3,0,900e-3,,311.4e-3
167,nom,900e-3,0,900e-3,0,0,900e-3,900e-3,0,,308.1e-3
168,nom,900e-3,0,900e-3,0,0,900e-3,900e-3,900e-3,,304.4e-3
169,nom,900e-3,0,900e-3,0,900e-3,0,0,0,,302.2e-3
170,nom,900e-3,0,900e-3,0,900e-3,0,0,900e-3,,298.4e-3
171,nom,900e-3,0,900e-3,0,900e-3,0,900e-3,0,,295.1e-3
172,nom,900e-3,0,900e-3,0,900e-3,0,900e-3,900e-3,,291.4e-3
173,nom,900e-3,0,900e-3,0,900e-3,900e-3,0,0,,288.6e-3
174,nom,900e-3,0,900e-3,0,900e-3,900e-3,0,900e-3,,284.9e-3
175,nom,900e-3,0,900e-3,0,900e-3,900e-3,900e-3,0,,281.7e-3
176,nom,900e-3,0,900e-3,0,900e-3,900e-3,900e-3,900e-3,,278e-3
177,nom,900e-3,0,900e-3,900e-3,0,0,0,0,,276.3e-3
178,nom,900e-3,0,900e-3,900e-3,0,0,0,900e-3,,272.5e-3
179,nom,900e-3,0,900e-3,900e-3,0,0,900e-3,0,,269.3e-3
180,nom,900e-3,0,900e-3,900e-3,0,0,900e-3,900e-3,,265.6e-3
181,nom,900e-3,0,900e-3,900e-3,0,900e-3,0,0,,262.9e-3
182,nom,900e-3,0,900e-3,900e-3,0,900e-3,0,900e-3,,259.2e-3
183,nom,900e-3,0,900e-3,900e-3,0,900e-3,900e-3,0,,256e-3
184,nom,900e-3,0,900e-3,900e-3,0,900e-3,900e-3,900e-3,,252.4e-3
185,nom,900e-3,0,900e-3,900e-3,900e-3,0,0,0,,250.2e-3
186,nom,900e-3,0,900e-3,900e-3,900e-3,0,0,900e-3,,246.5e-3
187,nom,900e-3,0,900e-3,900e-3,900e-3,0,900e-3,0,,243.3e-3
188,nom,900e-3,0,900e-3,900e-3,900e-3,0,900e-3,900e-3,,239.7e-3
189,nom,900e-3,0,900e-3,900e-3,900e-3,900e-3,0,0,,236.9e-3
190,nom,900e-3,0,900e-3,900e-3,900e-3,900e-3,0,900e-3,,233.4e-3
191,nom,900e-3,0,900e-3,900e-3,900e-3,900e-3,900e-3,0,,230.2e-3
192,nom,900e-3,0,900e-3,900e-3,900e-3,900e-3,900e-3,900e-3,,226.5e-3
193,nom,900e-3,900e-3,0,0,0,0,0,0,,225.7e-3
194,nom,900e-3,900e-3,0,0,0,0,0,900e-3,,221.9e-3
195,nom,900e-3,900e-3,0,0,0,0,900e-3,0,,218.7e-3
196,nom,900e-3,900e-3,0,0,0,0,900e-3,900e-3,,215e-3
197,nom,900e-3,900e-3,0,0,0,900e-3,0,0,,212.4e-3
198,nom,900e-3,900e-3,0,0,0,900e-3,0,900e-3,,208.8e-3
199,nom,900e-3,900e-3,0,0,0,900e-3,900e-3,0,,205.6e-3
200,nom,900e-3,900e-3,0,0,0,900e-3,900e-3,900e-3,,202e-3
201,nom,900e-3,900e-3,0,0,900e-3,0,0,0,,199.9e-3
202,nom,900e-3,900e-3,0,0,900e-3,0,0,900e-3,,196.2e-3
203,nom,900e-3,900e-3,0,0,900e-3,0,900e-3,0,,193.1e-3
204,nom,900e-3,900e-3,0,0,900e-3,0,900e-3,900e-3,,189.4e-3
205,nom,900e-3,900e-3,0,0,900e-3,900e-3,0,0,,186.8e-3
206,nom,900e-3,900e-3,0,0,900e-3,900e-3,0,900e-3,,183.2e-3
207,nom,900e-3,900e-3,0,0,900e-3,900e-3,900e-3,0,,180.1e-3
208,nom,900e-3,900e-3,0,0,900e-3,900e-3,900e-3,900e-3,,176.5e-3
209,nom,900e-3,900e-3,0,900e-3,0,0,0,0,,174.8e-3
210,nom,900e-3,900e-3,0,900e-3,0,0,0,900e-3,,171.2e-3
211,nom,900e-3,900e-3,0,900e-3,0,0,900e-3,0,,168.1e-3
212,nom,900e-3,900e-3,0,900e-3,0,0,900e-3,900e-3,,164.4e-3
213,nom,900e-3,900e-3,0,900e-3,0,900e-3,0,0,,161.8e-3
214,nom,900e-3,900e-3,0,900e-3,0,900e-3,0,900e-3,,158.2e-3
215,nom,900e-3,900e-3,0,900e-3,0,900e-3,900e-3,0,,155.1e-3
216,nom,900e-3,900e-3,0,900e-3,0,900e-3,900e-3,900e-3,,151.6e-3
217,nom,900e-3,900e-3,0,900e-3,900e-3,0,0,0,,149.4e-3
218,nom,900e-3,900e-3,0,900e-3,900e-3,0,0,900e-3,,145.8e-3
219,nom,900e-3,900e-3,0,900e-3,900e-3,0,900e-3,0,,142.7e-3
220,nom,900e-3,900e-3,0,900e-3,900e-3,0,900e-3,900e-3,,139.2e-3
221,nom,900e-3,900e-3,0,900e-3,900e-3,900e-3,0,0,,136.5e-3
222,nom,900e-3,900e-3,0,900e-3,900e-3,900e-3,0,900e-3,,133e-3
223,nom,900e-3,900e-3,0,900e-3,900e-3,900e-3,900e-3,0,,130e-3
224,nom,900e-3,900e-3,0,900e-3,900e-3,900e-3,900e-3,900e-3,,126.4e-3
225,nom,900e-3,900e-3,900e-3,0,0,0,0,0,,125.2e-3
226,nom,900e-3,900e-3,900e-3,0,0,0,0,900e-3,,121.5e-3
227,nom,900e-3,900e-3,900e-3,0,0,0,900e-3,0,,118.4e-3
228,nom,900e-3,900e-3,900e-3,0,0,0,900e-3,900e-3,,114.9e-3
229,nom,900e-3,900e-3,900e-3,0,0,900e-3,0,0,,112.3e-3
230,nom,900e-3,900e-3,900e-3,0,0,900e-3,0,900e-3,,108.8e-3
231,nom,900e-3,900e-3,900e-3,0,0,900e-3,900e-3,0,,105.7e-3
232,nom,900e-3,900e-3,900e-3,0,0,900e-3,900e-3,900e-3,,102.3e-3
233,nom,900e-3,900e-3,900e-3,0,900e-3,0,0,0,,100.1e-3
234,nom,900e-3,900e-3,900e-3,0,900e-3,0,0,900e-3,,96.59e-3
235,nom,900e-3,900e-3,900e-3,0,900e-3,0,900e-3,0,,93.57e-3
236,nom,900e-3,900e-3,900e-3,0,900e-3,0,900e-3,900e-3,,90.18e-3
237,nom,900e-3,900e-3,900e-3,0,900e-3,900e-3,0,0,,87.56e-3
238,nom,900e-3,900e-3,900e-3,0,900e-3,900e-3,0,900e-3,,84.2e-3
239,nom,900e-3,900e-3,900e-3,0,900e-3,900e-3,900e-3,0,,81.22e-3
240,nom,900e-3,900e-3,900e-3,0,900e-3,900e-3,900e-3,900e-3,,77.79e-3
241,nom,900e-3,900e-3,900e-3,900e-3,0,0,0,0,,76.1e-3
242,nom,900e-3,900e-3,900e-3,900e-3,0,0,0,900e-3,,72.68e-3
