,,Parameter,,,,,,C2,C3
,,a,,,,,,0,900e-3
,,b,,,,,,0,900e-3
,,c,,,,,,0,900e-3
,,d,,,,,,0,900e-3
,,e,,,,,,0,900e-3
,,f,,,,,,0,900e-3
,,g,,,,,,0,900e-3
,,h,,,,,,0,900e-3
,,l0028hkcplus_io18_v1p0_rev3_spe.lib,,,,,,esd_dio_tt,esd_dio_tt
,,l0028hkcplus_io18_v1p0_rev3_spe.lib,,,,,,esd_tt,esd_tt
,,l0028hkcplus_io18_v1p0_rev3_spe.lib,,,,,,ldmos_mc,ldmos_mc
,,l0028hkcplus_io18_v1p0_rev3_spe.lib,,,,,,mom_mc,mom_mc
,,l0028hkcplus_io18_v1p0_rev3_spe.lib,,,,,,var_mc,var_mc
,,l0028hkcplus_io18_v1p0_rev3_spe.lib,,,,,,res_mc,res_mc
,,l0028hkcplus_io18_v1p0_rev3_spe.lib,,,,,,dio_tt,dio_tt
,,l0028hkcplus_io18_v1p0_rev3_spe.lib,,,,,,bjt_mc,bjt_mc
,,l0028hkcplus_io18_v1p0_rev3_spe.lib,,,,,,tt,tt
,,temperature,,,,,,25,25

Point,Test,Output,Spec,Weight,Pass/Fail,Min,Max,C2,C3
22,Charge_weighted:LCC_SUB256_TB:1,"value(VT(""/I15/I26<127>/net7"") 8e-09)",,,,2.092e-3,2.092e-3,2.092e-3,pending
Parameters: mc_iteration=23,,,,,,,,,
23,Charge_weighted:LCC_SUB256_TB:1,"value(VT(""/I15/I26<127>/net7"") 8e-09)",,,,1.974e-3,1.974e-3,1.974e-3,pending
Parameters: mc_iteration=24,,,,,,,,,
24,Charge_weighted:LCC_SUB256_TB:1,"value(VT(""/I15/I26<127>/net7"") 8e-09)",,,,2.041e-3,2.041e-3,2.041e-3,pending
Parameters: mc_iteration=25,,,,,,,,,
25,Charge_weighted:LCC_SUB256_TB:1,"value(VT(""/I15/I26<127>/net7"") 8e-09)",,,,1.912e-3,1.912e-3,1.912e-3,pending
Parameters: mc_iteration=26,,,,,,,,,
26,Charge_weighted:LCC_SUB256_TB:1,"value(VT(""/I15/I26<127>/net7"") 8e-09)",,,,1.992e-3,1.992e-3,1.992e-3,pending
Parameters: mc_iteration=27,,,,,,,,,
27,Charge_weighted:LCC_SUB256_TB:1,"value(VT(""/I15/I26<127>/net7"") 8e-09)",,,,2.111e-3,2.111e-3,2.111e-3,pending
Parameters: mc_iteration=28,,,,,,,,,
28,Charge_weighted:LCC_SUB256_TB:1,"value(VT(""/I15/I26<127>/net7"") 8e-09)",,,,2.176e-3,2.176e-3,2.176e-3,pending
Parameters: mc_iteration=29,,,,,,,,,
29,Charge_weighted:LCC_SUB256_TB:1,"value(VT(""/I15/I26<127>/net7"") 8e-09)",,,,2.017e-3,2.017e-3,2.017e-3,pending
Parameters: mc_iteration=30,,,,,,,,,
30,Charge_weighted:LCC_SUB256_TB:1,"value(VT(""/I15/I26<127>/net7"") 8e-09)",,,,1.957e-3,1.957e-3,1.957e-3,pending
Parameters: mc_iteration=31,,,,,,,,,
31,Charge_weighted:LCC_SUB256_TB:1,"value(VT(""/I15/I26<127>/net7"") 8e-09)",,,,2.078e-3,2.078e-3,2.078e-3,pending
Parameters: mc_iteration=32,,,,,,,,,
32,Charge_weighted:LCC_SUB256_TB:1,"value(VT(""/I15/I26<127>/net7"") 8e-09)",,,,1.982e-3,1.982e-3,1.982e-3,pending
Parameters: mc_iteration=33,,,,,,,,,
33,Charge_weighted:LCC_SUB256_TB:1,"value(VT(""/I15/I26<127>/net7"") 8e-09)",,,,2.093e-3,2.093e-3,2.093e-3,pending
Parameters: mc_iteration=34,,,,,,,,,
34,Charge_weighted:LCC_SUB256_TB:1,"value(VT(""/I15/I26<127>/net7"") 8e-09)",,,,2.031e-3,2.031e-3,2.031e-3,pending
Parameters: mc_iteration=35,,,,,,,,,
35,Charge_weighted:LCC_SUB256_TB:1,"value(VT(""/I15/I26<127>/net7"") 8e-09)",,,,1.869e-3,1.869e-3,1.869e-3,pending
Parameters: mc_iteration=36,,,,,,,,,
36,Charge_weighted:LCC_SUB256_TB:1,"value(VT(""/I15/I26<127>/net7"") 8e-09)",,,,1.942e-3,1.942e-3,1.942e-3,pending
Parameters: mc_iteration=37,,,,,,,,,
37,Charge_weighted:LCC_SUB256_TB:1,"value(VT(""/I15/I26<127>/net7"") 8e-09)",,,,2.061e-3,2.061e-3,2.061e-3,pending
Parameters: mc_iteration=38,,,,,,,,,
38,Charge_weighted:LCC_SUB256_TB:1,"value(VT(""/I15/I26<127>/net7"") 8e-09)",,,,2.146e-3,2.146e-3,2.146e-3,pending
Parameters: mc_iteration=39,,,,,,,,,
39,Charge_weighted:LCC_SUB256_TB:1,"value(VT(""/I15/I26<127>/net7"") 8e-09)",,,,2.012e-3,2.012e-3,2.012e-3,pending
Parameters: mc_iteration=40,,,,,,,,,
40,Charge_weighted:LCC_SUB256_TB:1,"value(VT(""/I15/I26<127>/net7"") 8e-09)",,,,2.082e-3,2.082e-3,2.082e-3,pending
Parameters: mc_iteration=41,,,,,,,,,
41,Charge_weighted:LCC_SUB256_TB:1,"value(VT(""/I15/I26<127>/net7"") 8e-09)",,,,1.961e-3,1.961e-3,1.961e-3,pending
Parameters: mc_iteration=42,,,,,,,,,
42,Charge_weighted:LCC_SUB256_TB:1,"value(VT(""/I15/I26<127>/net7"") 8e-09)",,,,2.023e-3,2.023e-3,2.023e-3,pending
Parameters: mc_iteration=43,,,,,,,,,
43,Charge_weighted:LCC_SUB256_TB:1,"value(VT(""/I15/I26<127>/net7"") 8e-09)",,,,2.191e-3,2.191e-3,2.191e-3,pending
Parameters: mc_iteration=44,,,,,,,,,
44,Charge_weighted:LCC_SUB256_TB:1,"value(VT(""/I15/I26<127>/net7"") 8e-09)",,,,2.12e-3,2.12e-3,2.12e-3,pending
Parameters: mc_iteration=45,,,,,,,,,
45,Charge_weighted:LCC_SUB256_TB:1,"value(VT(""/I15/I26<127>/net7"") 8e-09)",,,,1.992e-3,1.992e-3,1.992e-3,pending
Parameters: mc_iteration=46,,,,,,,,,
46,Charge_weighted:LCC_SUB256_TB:1,"value(VT(""/I15/I26<127>/net7"") 8e-09)",,,,1.914e-3,1.914e-3,1.914e-3,pending
Parameters: mc_iteration=47,,,,,,,,,
47,Charge_weighted:LCC_SUB256_TB:1,"value(VT(""/I15/I26<127>/net7"") 8e-09)",,,,2.054e-3,2.054e-3,2.054e-3,pending
Parameters: mc_iteration=48,,,,,,,,,
48,Charge_weighted:LCC_SUB256_TB:1,"value(VT(""/I15/I26<127>/net7"") 8e-09)",,,,2.132e-3,2.132e-3,2.132e-3,pending
Parameters: mc_iteration=49,,,,,,,,,
49,Charge_weighted:LCC_SUB256_TB:1,"value(VT(""/I15/I26<127>/net7"") 8e-09)",,,,2e-3,2e-3,2e-3,pending
Parameters: mc_iteration=50,,,,,,,,,
50,Charge_weighted:LCC_SUB256_TB:1,"value(VT(""/I15/I26<127>/net7"") 8e-09)",,,,1.93e-3,1.93e-3,1.93e-3,pending
Parameters: mc_iteration=51,,,,,,,,,
51,Charge_weighted:LCC_SUB256_TB:1,"value(VT(""/I15/I26<127>/net7"") 8e-09)",,,,2.062e-3,2.062e-3,2.062e-3,pending
Parameters: mc_iteration=52,,,,,,,,,
52,Charge_weighted:LCC_SUB256_TB:1,"value(VT(""/I15/I26<127>/net7"") 8e-09)",,,,2.026e-3,2.026e-3,2.026e-3,pending
Parameters: mc_iteration=53,,,,,,,,,
53,Charge_weighted:LCC_SUB256_TB:1,"value(VT(""/I15/I26<127>/net7"") 8e-09)",,,,2.256e-3,2.256e-3,2.256e-3,pending
Parameters: mc_iteration=54,,,,,,,,,
54,Charge_weighted:LCC_SUB256_TB:1,"value(VT(""/I15/I26<127>/net7"") 8e-09)",,,,1.973e-3,1.973e-3,1.973e-3,pending
Parameters: mc_iteration=55,,,,,,,,,
55,Charge_weighted:LCC_SUB256_TB:1,"value(VT(""/I15/I26<127>/net7"") 8e-09)",,,,2.086e-3,2.086e-3,2.086e-3,pending
Parameters: mc_iteration=56,,,,,,,,,
56,Charge_weighted:LCC_SUB256_TB:1,"value(VT(""/I15/I26<127>/net7"") 8e-09)",,,,1.899e-3,1.899e-3,1.899e-3,pending
Parameters: mc_iteration=57,,,,,,,,,
57,Charge_weighted:LCC_SUB256_TB:1,"value(VT(""/I15/I26<127>/net7"") 8e-09)",,,,2.045e-3,2.045e-3,2.045e-3,pending
Parameters: mc_iteration=58,,,,,,,,,
58,Charge_weighted:LCC_SUB256_TB:1,"value(VT(""/I15/I26<127>/net7"") 8e-09)",,,,2.106e-3,2.106e-3,2.106e-3,pending
Parameters: mc_iteration=59,,,,,,,,,
59,Charge_weighted:LCC_SUB256_TB:1,"value(VT(""/I15/I26<127>/net7"") 8e-09)",,,,1.985e-3,1.985e-3,1.985e-3,pending
Parameters: mc_iteration=60,,,,,,,,,
60,Charge_weighted:LCC_SUB256_TB:1,"value(VT(""/I15/I26<127>/net7"") 8e-09)",,,,2.013e-3,2.013e-3,2.013e-3,pending
Parameters: mc_iteration=61,,,,,,,,,
